dataset,seed,variant,epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_seconds
mnist,42,deterministic,1,0.5029925263404846,0.8519,0.17360463390350342,0.9448,1.0557697881013155
mnist,42,deterministic,2,0.11410356688499451,0.9658,0.09877227474451065,0.9722,0.41794075164943933
mnist,42,deterministic,3,0.07307566207647323,0.97795,0.08148906363248826,0.9746,0.39344630064442754
mnist,42,deterministic,4,0.05512252968549729,0.98315,0.07982838192880154,0.977,0.5514068799093366
mnist,42,deterministic,5,0.04016086210608483,0.9867,0.10607021020650864,0.9696,0.3945858031511307
mnist,42,deterministic,6,0.03450798270702362,0.98925,0.07281604002714157,0.9806,0.3934899540618062
mnist,42,deterministic,7,0.02845416849255562,0.99095,0.07233931446671486,0.9816,0.3996938760392368
mnist,42,deterministic,8,0.021942655968666076,0.99315,0.07308481765687466,0.9816,0.397858623880893
mnist,42,dropout,1,0.5679029706001282,0.827,0.17438908598423003,0.9468,0.40569309098646045
mnist,42,dropout,2,0.1432697946190834,0.9565,0.09780262868404388,0.9708,0.3995822952128947
mnist,42,dropout,3,0.08960286355018615,0.97415,0.07562129051685333,0.9778,0.40207585599273443
mnist,42,dropout,4,0.07183177412748337,0.97745,0.06818342368602753,0.9794,0.45691094268113375
mnist,42,dropout,5,0.0536902504503727,0.98345,0.06058557508289814,0.983,0.395976803265512
mnist,42,dropout,6,0.04056181036233902,0.98855,0.05757327859401703,0.9834,0.40381151996552944
mnist,42,dropout,7,0.03655791094303131,0.98785,0.06007703763395548,0.983,0.42229596711695194
mnist,42,dropout,8,0.030251507765054704,0.9912,0.06933833093941212,0.9792,0.4293879051692784
mnist,123,deterministic,1,0.47400733062624933,0.85425,0.17245061514377594,0.95,0.3936299723573029
mnist,123,deterministic,2,0.1128366672039032,0.96625,0.09560610058307648,0.9694,0.3933775727637112
mnist,123,deterministic,3,0.0764818788588047,0.97605,0.0835412056684494,0.975,0.39290342200547457
mnist,123,deterministic,4,0.05396843529939652,0.983,0.08152800278663636,0.9736,0.39469815930351615
mnist,123,deterministic,5,0.041871186077594755,0.98685,0.07129516716003417,0.9802,0.41933669336140156
mnist,123,deterministic,6,0.036559897816181186,0.98795,0.0548272370159626,0.9836,0.3927260469645262
mnist,123,deterministic,7,0.027606371146440507,0.9918,0.0712070831656456,0.9792,0.395750364754349
mnist,123,deterministic,8,0.0200778228700161,0.99415,0.0561745728135109,0.9826,0.3930703802034259
mnist,123,dropout,1,0.5191936323225498,0.839,0.15339793555736542,0.9506,0.39732839027419686
mnist,123,dropout,2,0.13610028326511384,0.95865,0.09648534708023071,0.9698,0.39701118785887957
mnist,123,dropout,3,0.09020883650779724,0.9718,0.07817804678082466,0.9748,0.3971286113373935
mnist,123,dropout,4,0.07591889361739158,0.9766,0.06416596796512604,0.9788,0.4002712043002248
mnist,123,dropout,5,0.054985846543312074,0.98225,0.06113019359111786,0.9796,0.39583000680431724
mnist,123,dropout,6,0.04902049171924591,0.98475,0.06254586850404739,0.9814,0.3958966340869665
mnist,123,dropout,7,0.03338761388659477,0.98915,0.05019654249548912,0.9838,0.39726190362125635
mnist,123,dropout,8,0.03019772551059723,0.99045,0.05145037844181061,0.983,0.3983858171850443
mnist,456,deterministic,1,0.5172537543773651,0.8519,0.1601699639558792,0.9558,0.4017723952420056
mnist,456,deterministic,2,0.12042091591358185,0.96515,0.11672907366752625,0.9602,0.3954344391822815
mnist,456,deterministic,3,0.07677972655296325,0.9771,0.06528879261612892,0.9776,0.39417387591674924
mnist,456,deterministic,4,0.053815502262115476,0.98375,0.05375189971923828,0.9834,0.39592248387634754
mnist,456,deterministic,5,0.042337553888559344,0.98635,0.05985695332586765,0.9784,0.39474748400971293
mnist,456,deterministic,6,0.03599597975611687,0.9889,0.05304279482066631,0.984,0.3962925970554352
mnist,456,deterministic,7,0.025758043348789214,0.99215,0.05214842041432857,0.9836,0.3941488591954112
mnist,456,deterministic,8,0.02139268210530281,0.99395,0.04711809796988964,0.9838,0.3980777240358293
mnist,456,dropout,1,0.5298014748096466,0.84175,0.15012329845428468,0.9546,0.4111532657407224
mnist,456,dropout,2,0.13299581176042558,0.95975,0.08802053355574607,0.9724,0.40127522172406316
mnist,456,dropout,3,0.08208170056343078,0.9753,0.06076857757270336,0.9804,0.3995929700322449
mnist,456,dropout,4,0.06459446125030517,0.9805,0.04908135593235493,0.9846,0.6358904140070081
mnist,456,dropout,5,0.051578778946399687,0.9838,0.049145799621939656,0.984,0.40262929210439324
mnist,456,dropout,6,0.03859640972614288,0.9881,0.041498197185993194,0.9878,0.3974737077951431
mnist,456,dropout,7,0.0333826822578907,0.98865,0.04134729011654854,0.9872,0.4059458151459694
mnist,456,dropout,8,0.028038528341054917,0.9908,0.03910383816957474,0.9878,0.397708083037287
fashion_mnist,42,deterministic,1,0.7569912557125091,0.7334,0.5024028827667236,0.8042,0.3942854190245271
fashion_mnist,42,deterministic,2,0.44631927280426026,0.8374,0.4044874158859253,0.8542,0.39259330881759524
fashion_mnist,42,deterministic,3,0.37249712266921997,0.8669,0.36041601467132567,0.8672,0.3935152175836265
fashion_mnist,42,deterministic,4,0.3300453592300415,0.88325,0.35074699993133546,0.8688,0.3949256152845919
fashion_mnist,42,deterministic,5,0.3072866760253906,0.8879,0.33252695655822756,0.8796,0.5605484968982637
fashion_mnist,42,deterministic,6,0.28654219708442685,0.8949,0.3019114609718323,0.891,0.39512027380988
fashion_mnist,42,deterministic,7,0.2674522139549255,0.90285,0.29560685958862304,0.8936,0.39763878285884857
fashion_mnist,42,deterministic,8,0.25181112718582155,0.90705,0.28425185976028444,0.8974,0.39655527705326676
fashion_mnist,42,dropout,1,0.803265785074234,0.7106,0.4837762342453003,0.8226,0.39971824968233705
fashion_mnist,42,dropout,2,0.4616373469352722,0.83315,0.3687139952659607,0.8692,0.45979811903089285
fashion_mnist,42,dropout,3,0.3939019338607788,0.8592,0.3572270442962647,0.8694,0.3978296248242259
fashion_mnist,42,dropout,4,0.35689261331558225,0.87035,0.32131592288017274,0.885,0.3983329301699996
fashion_mnist,42,dropout,5,0.3200926646232605,0.88165,0.3005945201873779,0.8888,0.3986390121281147
fashion_mnist,42,dropout,6,0.30783853673934936,0.88535,0.3031426763534546,0.8874,0.39796874998137355
fashion_mnist,42,dropout,7,0.2883027979850769,0.8946,0.27759596138000486,0.8996,0.3990667029283941
fashion_mnist,42,dropout,8,0.2643064401626587,0.90175,0.2792470456123352,0.8946,0.39864329900592566
fashion_mnist,123,deterministic,1,0.7337303080558777,0.74105,0.459523700094223,0.8334,0.39622644521296024
fashion_mnist,123,deterministic,2,0.44429608335494997,0.84085,0.4017042006969452,0.8562,0.40069294115528464
fashion_mnist,123,deterministic,3,0.3680843682050705,0.86695,0.35460016808509826,0.8716,0.4003140409477055
fashion_mnist,123,deterministic,4,0.3313654977560043,0.88175,0.33038418641090395,0.8824,0.39510332280769944
fashion_mnist,123,deterministic,5,0.30585515060424806,0.88855,0.3266779665470123,0.8776,0.39539447613060474
fashion_mnist,123,deterministic,6,0.2774955663919449,0.8997,0.30317248821258547,0.8906,0.3954466958530247
fashion_mnist,123,deterministic,7,0.25062620356082915,0.9092,0.29361671719551086,0.8976,0.39483407279476523
fashion_mnist,123,deterministic,8,0.24845529074668884,0.9107,0.28921775369644165,0.8994,0.39437313796952367
fashion_mnist,123,dropout,1,0.7644093877792358,0.72705,0.4725447389125824,0.8282,0.3989238431677222
fashion_mnist,123,dropout,2,0.4483835841178894,0.8383,0.3797837893009186,0.8682,0.3980510081164539
fashion_mnist,123,dropout,3,0.3876925048828125,0.8601,0.34952012972831725,0.872,0.3983287448063493
fashion_mnist,123,dropout,4,0.34423094062805176,0.8747,0.3314573567390442,0.8794,0.39901619916781783
fashion_mnist,123,dropout,5,0.32299216504096984,0.8805,0.3186349868297577,0.8892,0.39988405583426356
fashion_mnist,123,dropout,6,0.2919847095966339,0.8914,0.2923156841278076,0.8928,0.4217432769946754
fashion_mnist,123,dropout,7,0.27416623725891115,0.89795,0.289145413351059,0.894,0.4126173499971628
fashion_mnist,123,dropout,8,0.25499029469490053,0.90345,0.30755660328865053,0.8894,0.40850159898400307
fashion_mnist,456,deterministic,1,0.7493668273925781,0.7338,0.4964516358375549,0.8148,0.404965290799737
fashion_mnist,456,deterministic,2,0.4223224762916565,0.84865,0.3658122763156891,0.8724,0.4132903078570962
fashion_mnist,456,deterministic,3,0.3665658495426178,0.86845,0.36445780792236326,0.8688,0.4024550272151828
fashion_mnist,456,deterministic,4,0.3346932161331177,0.88115,0.31084748854637145,0.89,0.401936081238091
fashion_mnist,456,deterministic,5,0.2973093797683716,0.8922,0.3277305729866028,0.8802,0.4046562439762056
fashion_mnist,456,deterministic,6,0.2745927759170532,0.90145,0.330515216255188,0.8858,0.40530776092782617
fashion_mnist,456,deterministic,7,0.26737475876808164,0.90325,0.2896245681762695,0.8972,0.4258603611961007
fashion_mnist,456,deterministic,8,0.23822394087314605,0.91525,0.29140728998184207,0.8978,0.4206061912700534
fashion_mnist,456,dropout,1,0.8071127259254456,0.712,0.454080252122879,0.8446,0.40108896512538195
fashion_mnist,456,dropout,2,0.46725052127838135,0.83115,0.4155666443824768,0.8424,0.4130987962707877
fashion_mnist,456,dropout,3,0.3932552200317383,0.8582,0.3342978373527527,0.8804,0.3979997131973505
fashion_mnist,456,dropout,4,0.34763704710006715,0.87515,0.3267751111984253,0.8858,0.4168988959863782
fashion_mnist,456,dropout,5,0.31823681144714355,0.8858,0.2989483245372772,0.8924,0.5607021930627525
fashion_mnist,456,dropout,6,0.2929736158370972,0.8924,0.2978377621173859,0.8932,0.3991833389736712
fashion_mnist,456,dropout,7,0.2679221164226532,0.90315,0.3007071668148041,0.8888,0.46628905087709427
fashion_mnist,456,dropout,8,0.2563703185558319,0.9063,0.2725064950942993,0.9046,0.43889831425622106
